fullname,filename,year,qter,type,format
/kaggle/input/datasets/canadawoodpecker/divvy-trips/Divvy_Trips_2019_Q1/Divvy_Trips_2019_Q1.csv,Divvy_Trips_2019_Q1.csv,2019,Q1,A,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/Divvy_Trips_2019_Q2/Divvy_Trips_2019_Q2.csv,Divvy_Trips_2019_Q2.csv,2019,Q2,A,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/Divvy_Trips_2019_Q3/Divvy_Trips_2019_Q3.csv,Divvy_Trips_2019_Q3.csv,2019,Q3,A,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/Divvy_Trips_2019_Q4/Divvy_Trips_2019_Q4.csv,Divvy_Trips_2019_Q4.csv,2019,Q4,A,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/Divvy_Trips_2020_Q1/Divvy_Trips_2020_Q1.csv,Divvy_Trips_2020_Q1.csv,2020,Q1,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202004-divvy-tripdata/202004-divvy-tripdata.csv,202004-divvy-tripdata.csv,2020,Q2,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202006-divvy-tripdata/202006-divvy-tripdata.csv,202006-divvy-tripdata.csv,2020,Q2,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202005-divvy-tripdata/202005-divvy-tripdata.csv,202005-divvy-tripdata.csv,2020,Q2,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202009-divvy-tripdata/202009-divvy-tripdata.csv,202009-divvy-tripdata.csv,2020,Q3,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202008-divvy-tripdata/202008-divvy-tripdata.csv,202008-divvy-tripdata.csv,2020,Q3,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202007-divvy-tripdata/202007-divvy-tripdata.csv,202007-divvy-tripdata.csv,2020,Q3,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202012-divvy-tripdata/202012-divvy-tripdata.csv,202012-divvy-tripdata.csv,2020,Q4,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202011-divvy-tripdata/202011-divvy-tripdata.csv,202011-divvy-tripdata.csv,2020,Q4,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202010-divvy-tripdata/202010-divvy-tripdata.csv,202010-divvy-tripdata.csv,2020,Q4,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202101-divvy-tripdata/202101-divvy-tripdata.csv,202101-divvy-tripdata.csv,2021,Q1,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202102-divvy-tripdata/202102-divvy-tripdata.csv,202102-divvy-tripdata.csv,2021,Q1,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202103-divvy-tripdata/202103-divvy-tripdata.csv,202103-divvy-tripdata.csv,2021,Q1,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202104-divvy-tripdata/202104-divvy-tripdata.csv,202104-divvy-tripdata.csv,2021,Q2,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202106-divvy-tripdata/202106-divvy-tripdata.csv,202106-divvy-tripdata.csv,2021,Q2,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202105-divvy-tripdata/202105-divvy-tripdata.csv,202105-divvy-tripdata.csv,2021,Q2,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202107-divvy-tripdata/202107-divvy-tripdata.csv,202107-divvy-tripdata.csv,2021,Q3,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202108-divvy-tripdata/202108-divvy-tripdata.csv,202108-divvy-tripdata.csv,2021,Q3,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202109-divvy-tripdata/202109-divvy-tripdata.csv,202109-divvy-tripdata.csv,2021,Q3,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202111-divvy-tripdata/202111-divvy-tripdata.csv,202111-divvy-tripdata.csv,2021,Q4,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202110-divvy-tripdata/202110-divvy-tripdata.csv,202110-divvy-tripdata.csv,2021,Q4,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202112-divvy-tripdata/202112-divvy-tripdata.csv,202112-divvy-tripdata.csv,2021,Q4,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202202-divvy-tripdata/202202-divvy-tripdata.csv,202202-divvy-tripdata.csv,2022,Q1,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202201-divvy-tripdata/202201-divvy-tripdata.csv,202201-divvy-tripdata.csv,2022,Q1,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202203-divvy-tripdata/202203-divvy-tripdata.csv,202203-divvy-tripdata.csv,2022,Q1,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202204-divvy-tripdata/202204-divvy-tripdata.csv,202204-divvy-tripdata.csv,2022,Q2,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202206-divvy-tripdata/202206-divvy-tripdata.csv,202206-divvy-tripdata.csv,2022,Q2,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202205-divvy-tripdata/202205-divvy-tripdata.csv,202205-divvy-tripdata.csv,2022,Q2,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202208-divvy-tripdata/202208-divvy-tripdata.csv,202208-divvy-tripdata.csv,2022,Q3,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202209-divvy-tripdata/202209-divvy-publictripdata.csv,202209-divvy-publictripdata.csv,2022,Q3,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202207-divvy-tripdata/202207-divvy-tripdata.csv,202207-divvy-tripdata.csv,2022,Q3,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202211-divvy-tripdata/202211-divvy-tripdata.csv,202211-divvy-tripdata.csv,2022,Q4,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202212-divvy-tripdata/202212-divvy-tripdata.csv,202212-divvy-tripdata.csv,2022,Q4,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202210-divvy-tripdata/202210-divvy-tripdata.csv,202210-divvy-tripdata.csv,2022,Q4,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202302-divvy-tripdata/202302-divvy-tripdata.csv,202302-divvy-tripdata.csv,2023,Q1,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202303-divvy-tripdata/202303-divvy-tripdata.csv,202303-divvy-tripdata.csv,2023,Q1,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202301-divvy-tripdata/202301-divvy-tripdata.csv,202301-divvy-tripdata.csv,2023,Q1,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202306-divvy-tripdata/202306-divvy-tripdata.csv,202306-divvy-tripdata.csv,2023,Q2,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202305-divvy-tripdata/202305-divvy-tripdata.csv,202305-divvy-tripdata.csv,2023,Q2,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202304-divvy-tripdata/202304-divvy-tripdata.csv,202304-divvy-tripdata.csv,2023,Q2,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202308-divvy-tripdata/202308-divvy-tripdata.csv,202308-divvy-tripdata.csv,2023,Q3,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202307-divvy-tripdata/202307-divvy-tripdata.csv,202307-divvy-tripdata.csv,2023,Q3,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202309-divvy-tripdata/202309-divvy-tripdata.csv,202309-divvy-tripdata.csv,2023,Q3,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202312-divvy-tripdata/202312-divvy-tripdata.csv,202312-divvy-tripdata.csv,2023,Q4,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202310-divvy-tripdata/202310-divvy-tripdata.csv,202310-divvy-tripdata.csv,2023,Q4,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202311-divvy-tripdata/202311-divvy-tripdata.csv,202311-divvy-tripdata.csv,2023,Q4,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202401-divvy-tripdata/202401-divvy-tripdata.csv,202401-divvy-tripdata.csv,2024,Q1,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202402-divvy-tripdata/202402-divvy-tripdata.csv,202402-divvy-tripdata.csv,2024,Q1,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202403-divvy-tripdata/202403-divvy-tripdata.csv,202403-divvy-tripdata.csv,2024,Q1,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202404-divvy-tripdata/202404-divvy-tripdata.csv,202404-divvy-tripdata.csv,2024,Q2,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202405-divvy-tripdata/202405-divvy-tripdata.csv,202405-divvy-tripdata.csv,2024,Q2,B,%Y-%m-%d %H:%M:%S
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202406-divvy-tripdata/202406-divvy-tripdata.csv,202406-divvy-tripdata.csv,2024,Q2,B,%Y-%m-%d %H:%M:%S.%f
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202408-divvy-tripdata/202408-divvy-tripdata.csv,202408-divvy-tripdata.csv,2024,Q3,B,%Y-%m-%d %H:%M:%S.%f
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202407-divvy-tripdata/202407-divvy-tripdata.csv,202407-divvy-tripdata.csv,2024,Q3,B,%Y-%m-%d %H:%M:%S.%f
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202409-divvy-tripdata/202409-divvy-tripdata.csv,202409-divvy-tripdata.csv,2024,Q3,B,%Y-%m-%d %H:%M:%S.%f
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202411-divvy-tripdata/202411-divvy-tripdata.csv,202411-divvy-tripdata.csv,2024,Q4,B,%Y-%m-%d %H:%M:%S.%f
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202412-divvy-tripdata/202412-divvy-tripdata.csv,202412-divvy-tripdata.csv,2024,Q4,B,%Y-%m-%d %H:%M:%S.%f
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202410-divvy-tripdata/202410-divvy-tripdata.csv,202410-divvy-tripdata.csv,2024,Q4,B,%Y-%m-%d %H:%M:%S.%f
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202502-divvy-tripdata/202502-divvy-tripdata.csv,202502-divvy-tripdata.csv,2025,Q1,B,%Y-%m-%d %H:%M:%S.%f
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202601-divvy-tripdata/202501-divvy-tripdata.csv,202501-divvy-tripdata.csv,2025,Q1,B,%Y-%m-%d %H:%M:%S.%f
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202503-divvy-tripdata/202503-divvy-tripdata.csv,202503-divvy-tripdata.csv,2025,Q1,B,%Y-%m-%d %H:%M:%S.%f
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202501-divvy-tripdata/202501-divvy-tripdata.csv,202501-divvy-tripdata.csv,2025,Q1,B,%Y-%m-%d %H:%M:%S.%f
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202504-divvy-tripdata/202504-divvy-tripdata.csv,202504-divvy-tripdata.csv,2025,Q2,B,%Y-%m-%d %H:%M:%S.%f
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202505-divvy-tripdata/202505-divvy-tripdata.csv,202505-divvy-tripdata.csv,2025,Q2,B,%Y-%m-%d %H:%M:%S.%f
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202506-divvy-tripdata/202506-divvy-tripdata.csv,202506-divvy-tripdata.csv,2025,Q2,B,%Y-%m-%d %H:%M:%S.%f
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202508-divvy-tripdata/202508-divvy-tripdata.csv,202508-divvy-tripdata.csv,2025,Q3,B,%Y-%m-%d %H:%M:%S.%f
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202507-divvy-tripdata/202507-divvy-tripdata.csv,202507-divvy-tripdata.csv,2025,Q3,B,%Y-%m-%d %H:%M:%S.%f
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202509-divvy-tripdata/202509-divvy-tripdata.csv,202509-divvy-tripdata.csv,2025,Q3,B,%Y-%m-%d %H:%M:%S.%f
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202510-divvy-tripdata/202510-divvy-tripdata.csv,202510-divvy-tripdata.csv,2025,Q4,B,%Y-%m-%d %H:%M:%S.%f
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202512-divvy-tripdata/202512-divvy-tripdata.csv,202512-divvy-tripdata.csv,2025,Q4,B,%Y-%m-%d %H:%M:%S.%f
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202511-divvy-tripdata/202511-divvy-tripdata.csv,202511-divvy-tripdata.csv,2025,Q4,B,%Y-%m-%d %H:%M:%S.%f
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202602-divvy-tripdata/202602-divvy-tripdata.csv,202602-divvy-tripdata.csv,2026,Q1,B,%Y-%m-%d %H:%M:%S.%f
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202603-divvy-tripdata/202603-divvy-tripdata.csv,202603-divvy-tripdata.csv,2026,Q1,B,%Y-%m-%d %H:%M:%S.%f
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202604-divvy-tripdata/202604-divvy-tripdata.csv,202604-divvy-tripdata.csv,2026,Q2,B,%Y-%m-%d %H:%M:%S.%f
/kaggle/input/datasets/canadawoodpecker/divvy-trips/202605-divvy-tripdata/202605-divvy-tripdata.csv,202605-divvy-tripdata.csv,2026,Q2,B,%Y-%m-%d %H:%M:%S.%f
